wl,reference,5,10,15,30,50,70,p3ht
484.29,,0.9683,0.9672,0.9662,0.9663,0.9671,0.9665,
484.355,0.4694,,,,,,,
485.13816,,,,,,,,1.03364
485.14,,0.9719,0.9709,0.9685,0.9699,0.968,0.9691,
485.273,0.4709,,,,,,,
485.9890400000001,,,,,,,,1.0176
485.99,,0.9751,0.9741,0.971,0.9727,0.9684,0.9716,
486.19,0.4727,,,,,,,
486.83991,,,,,,,,1.01187
486.84,,0.9784,0.9761,0.9741,0.9748,0.9684,0.9732,
487.108,0.4748,,,,,,,
487.69,,0.9807,0.9775,0.9774,0.977,0.9689,0.9747,
487.69078,,,,,,,,1.01341
488.026,0.4767,,,,,,,
488.54,,0.9827,0.9792,0.9806,0.9798,0.9701,0.9762,
488.54165,,,,,,,,1.01637
488.943,0.4784,,,,,,,
489.39,,0.9852,0.9817,0.984,0.9827,0.9718,0.977,
489.39252,,,,,,,,1.01895
489.861,0.4799,,,,,,,
490.24,,0.9876,0.9845,0.9883,0.9858,0.974,0.9777,
490.24339,,,,,,,,1.01776
490.779,0.4816,,,,,,,
491.09,,0.9904,0.9874,0.9932,0.9891,0.9767,0.9785,
491.09427,,,,,,,,1.02474
491.697,0.4833,,,,,,,
491.94514,,,,,,,,1.04144
491.95,,0.9948,0.9905,0.9972,0.9926,0.9792,0.9794,
492.614,0.485,,,,,,,
492.79601,,,,,,,,1.04653
492.8,,0.9997,0.9937,1.0,0.9959,0.9811,0.9807,
493.532,0.4866,,,,,,,
493.64688,,,,,,,,1.04298
493.65,,1.004,0.9967,1.003,0.9983,0.9824,0.9823,
494.45,0.4884,,,,,,,
494.49775,,,,,,,,1.04843
494.5,,1.007,0.9995,1.006,0.9998,0.9832,0.9835,
495.34862,,,,,,,,1.063
495.35,,1.011,1.002,1.01,1.001,0.984,0.9843,
495.367,0.4904,,,,,,,
496.1995,,,,,,,,1.06952
496.2,,1.014,1.004,1.015,1.001,0.985,0.9849,
496.285,0.4924,,,,,,,
497.05,,1.017,1.006,1.02,1.002,0.9857,0.9854,
497.05037,,,,,,,,1.06188
497.203,0.494,,,,,,,
497.9,,1.02,1.008,1.024,1.003,0.9861,0.9854,
497.90124,,,,,,,,1.05237
498.121,0.4954,,,,,,,
498.75,,1.022,1.009,1.028,1.005,0.9864,0.9849,
498.75211,,,,,,,,1.0441
499.038,0.4969,,,,,,,
499.6,,1.023,1.01,1.031,1.007,0.9865,0.9843,
499.60298,,,,,,,,1.03799
499.956,0.4985,,,,,,,
500.45,,1.024,1.012,1.033,1.009,0.9864,0.9834,
500.45385,,,,,,,,1.0430700000000002
500.874,0.5003,,,,,,,
501.3,,1.026,1.013,1.034,1.011,0.986,0.9829,
501.30473,,,,,,,,1.06158
501.791,0.502,,,,,,,
502.1556,,,,,,,,1.08511
502.16,,1.03,1.015,1.035,1.013,0.9856,0.983,
502.709,0.5036,,,,,,,
503.00647,,,,,,,,1.1061
503.01,,1.033,1.016,1.037,1.015,0.9855,0.9832,
503.627,0.5052,,,,,,,
503.85734,,,,,,,,1.1161299999999998
503.86,,1.036,1.018,1.039,1.017,0.9857,0.9832,
504.544,0.5068,,,,,,,
504.70821,,,,,,,,1.11065
504.71,,1.038,1.019,1.041,1.018,0.986,0.9832,
505.462,0.5082,,,,,,,
505.55908,,,,,,,,1.10029
505.56,,1.041,1.02,1.043,1.019,0.9862,0.983,
506.38,0.5094,,,,,,,
506.40995,,,,,,,,1.09597
506.41,,1.043,1.021,1.045,1.02,0.9862,0.9825,
507.26,,1.043,1.022,1.046,1.021,0.9859,0.9815,
507.26083,,,,,,,,1.09817
507.298,0.5106,,,,,,,
508.11,,1.044,1.023,1.048,1.022,0.9852,0.9801,
508.1117,,,,,,,,1.10054
508.215,0.5118,,,,,,,
508.96,,1.045,1.024,1.049,1.023,0.9842,0.9788,
508.96257,,,,,,,,1.10219
509.133,0.5131,,,,,,,
509.81,,1.047,1.025,1.051,1.024,0.9833,0.9779,
509.81344,,,,,,,,1.1043
510.051,0.5142,,,,,,,
510.66,,1.049,1.026,1.053,1.024,0.9825,0.9772,
510.66431,,,,,,,,1.10334
510.968,0.5154,,,,,,,
511.51518,,,,,,,,1.10398
511.52,,1.051,1.026,1.054,1.025,0.9817,0.9763,
511.886,0.5166,,,,,,,
512.36606,,,,,,,,1.1080299999999998
512.37,,1.054,1.027,1.056,1.027,0.9812,0.9754,
512.804,0.518,,,,,,,
513.2169299999999,,,,,,,,1.10749
513.22,,1.058,1.027,1.057,1.028,0.9808,0.9746,
513.722,0.5192,,,,,,,
514.0678,,,,,,,,1.10615
514.07,,1.061,1.028,1.058,1.029,0.9802,0.9737,
514.639,0.5203,,,,,,,
514.91867,,,,,,,,1.10689
514.92,,1.063,1.029,1.059,1.029,0.9792,0.9725,
515.557,0.5213,,,,,,,
515.76954,,,,,,,,1.10309
515.77,,1.065,1.029,1.061,1.029,0.9777,0.9707,
516.475,0.5222,,,,,,,
516.62,,1.066,1.029,1.063,1.028,0.976,0.9686,
516.62041,,,,,,,,1.09858
517.392,0.5232,,,,,,,
517.47,,1.066,1.029,1.065,1.027,0.9739,0.9663,
517.4712900000001,,,,,,,,1.09819
518.31,0.5239,,,,,,,
518.32,,1.067,1.029,1.067,1.026,0.9715,0.964,
518.3221599999999,,,,,,,,1.09721
519.17,,1.066,1.028,1.068,1.024,0.969,0.9614,
519.1730299999999,,,,,,,,1.09472
519.228,0.5245,,,,,,,
520.02,,1.066,1.027,1.069,1.023,0.9665,0.9588,
520.0239,,,,,,,,1.0936
520.145,0.5251,,,,,,,
520.87,,1.067,1.026,1.068,1.022,0.964,0.9564,
520.87477,,,,,,,,1.09411
521.063,0.5258,,,,,,,
521.72564,,,,,,,,1.09486
521.73,,1.067,1.025,1.068,1.021,0.9616,0.9539,
521.981,0.5264,,,,,,,
522.5765200000001,,,,,,,,1.09425
522.58,,1.067,1.024,1.067,1.02,0.9591,0.9513,
522.899,0.5271,,,,,,,
523.4273900000001,,,,,,,,1.09372
523.43,,1.067,1.022,1.067,1.018,0.9562,0.9484,
523.816,0.5277,,,,,,,
524.2782599999999,,,,,,,,1.0970799999999998
524.28,,1.067,1.02,1.068,1.017,0.9532,0.9455,
524.734,0.5282,,,,,,,
525.12913,,,,,,,,1.10389
525.13,,1.067,1.019,1.069,1.015,0.9501,0.9426,
525.652,0.5286,,,,,,,
525.98,,1.068,1.017,1.07,1.014,0.9473,0.9399,1.10468
526.569,0.529,,,,,,,
526.83,,1.069,1.015,1.071,1.012,0.9444,0.9371,
526.83087,,,,,,,,1.09515
527.487,0.5293,,,,,,,
