,Wavenumber,Absorbance,film
473,855.578,1.067,doped PBTTT
474,856.543,1.088,doped PBTTT
475,857.507,1.109,doped PBTTT
476,858.471,1.13,doped PBTTT
477,859.435,1.151,doped PBTTT
478,860.3989999999999,1.173,doped PBTTT
479,861.3639999999999,1.197,doped PBTTT
480,862.328,1.2209999999999999,doped PBTTT
481,863.2919999999999,1.246,doped PBTTT
482,864.2560000000001,1.271,doped PBTTT
483,865.221,1.296,doped PBTTT
484,866.185,1.32,doped PBTTT
485,867.1489999999999,1.344,doped PBTTT
486,868.113,1.367,doped PBTTT
487,869.078,1.39,doped PBTTT
488,870.0419999999999,1.411,doped PBTTT
489,871.0060000000001,1.432,doped PBTTT
490,871.97,1.452,doped PBTTT
491,872.935,1.473,doped PBTTT
492,873.8989999999999,1.4969999999999999,doped PBTTT
493,874.863,1.5219999999999998,doped PBTTT
494,875.827,1.547,doped PBTTT
495,876.791,1.5719999999999998,doped PBTTT
496,877.7560000000001,1.5959999999999999,doped PBTTT
497,878.72,1.619,doped PBTTT
498,879.684,1.643,doped PBTTT
499,880.648,1.669,doped PBTTT
500,881.613,1.696,doped PBTTT
501,882.577,1.722,doped PBTTT
502,883.541,1.745,doped PBTTT
503,884.505,1.7630000000000001,doped PBTTT
504,885.47,1.78,doped PBTTT
505,886.434,1.797,doped PBTTT
506,887.398,1.8159999999999998,doped PBTTT
507,888.362,1.837,doped PBTTT
508,889.326,1.857,doped PBTTT
509,890.291,1.876,doped PBTTT
510,891.255,1.8940000000000001,doped PBTTT
511,892.2189999999999,1.912,doped PBTTT
512,893.183,1.931,doped PBTTT
513,894.148,1.95,doped PBTTT
514,895.112,1.966,doped PBTTT
515,896.076,1.975,doped PBTTT
516,897.04,1.974,doped PBTTT
517,898.005,1.965,doped PBTTT
518,898.9689999999999,1.953,doped PBTTT
519,899.933,1.9409999999999998,doped PBTTT
520,900.8969999999999,1.935,doped PBTTT
521,901.862,1.9340000000000002,doped PBTTT
522,902.826,1.936,doped PBTTT
523,903.79,1.94,doped PBTTT
524,904.7539999999999,1.94,doped PBTTT
525,905.7180000000001,1.936,doped PBTTT
526,906.683,1.9240000000000002,doped PBTTT
527,907.6469999999999,1.909,doped PBTTT
528,908.6110000000001,1.893,doped PBTTT
529,909.575,1.879,doped PBTTT
530,910.54,1.8719999999999999,doped PBTTT
531,911.5039999999999,1.869,doped PBTTT
532,912.4680000000001,1.868,doped PBTTT
533,913.432,1.8659999999999999,doped PBTTT
534,914.3969999999999,1.858,doped PBTTT
535,915.3610000000001,1.844,doped PBTTT
